 0:06:04.846 00:39:46.906  2022.06 Penumbra Shade
 7:52:48.386 07:57:42.129  293.742           Land
 7:53:47.195 07:54:56.123   68.928           Land
 7:55:46.069 07:56:11.297   25.228           Land
 7:57:19.386 07:58:20.311   60.924           Land
 7:58:21.831  8:09:41.160  679.329 Process_images
 8:09:42.680 08:19:08.032  565.352           Land
 8:09:43.524 08:10:08.035   24.511           Land
 8:10:09.555  8:14:17.111  247.556 Process_images
 8:14:18.631 08:15:13.704   55.073           Land
 8:15:07.021 08:15:48.108   41.087           Land
 8:15:49.628  8:18:43.048   173.42 Process_images
 8:18:44.568 08:19:06.975   22.406           Land
 8:18:45.217 08:19:10.387    25.17           Land
 8:18:52.345 08:19:27.993   35.648           Land
 8:19:29.513  8:29:33.719  604.206 Process_images
 8:29:35.239 09:03:16.948 2021.709 Penumbra Shade
 8:35:08.901 08:35:36.650   27.749           Land
 8:35:15.348 08:35:37.951   22.603           Land
 8:35:39.471  8:45:23.797  584.326 Process_images
 8:45:25.317 08:46:08.534   43.217           Land
 8:45:54.040 08:46:22.934   28.894           Land
 8:45:57.897 08:46:21.885   23.988           Land
 8:46:02.821 08:46:26.940   24.119           Land
 8:46:08.531 08:46:36.866   28.336           Land
 8:46:38.386  8:52:45.761  367.375 Process_images
 8:52:47.281 09:06:52.656  845.374     PrudhoeBay
 8:55:09.331 08:55:39.351    30.02           Land
 8:55:10.199 08:55:33.038   22.838           Land
 8:55:12.609 08:55:43.504   30.895           Land
 8:55:16.494 08:55:39.499   23.004           Land
 8:55:21.506 08:55:44.487   22.981           Land
 8:56:10.020 08:56:32.628   22.608           Land
 8:56:20.863 08:56:43.538   22.675           Land
 8:57:16.708 08:57:44.024   27.316           Land
 8:58:02.707 08:58:31.846   29.139           Land
 8:58:21.491 09:00:11.992  110.502           Land
 8:58:25.755 08:58:48.089   22.334           Land
 8:58:27.195 08:58:50.330   23.135           Land
 8:59:00.623 09:00:41.101  100.478           Land
 9:00:18.820 09:00:50.996   32.176           Land
 9:00:20.953 09:00:51.080   30.127           Land
 9:01:35.953 09:16:02.141  866.187       Svalbard
 9:02:44.369 09:03:06.353   21.984           Land
 9:03:07.873  9:05:49.347  161.474 Process_images
 9:05:50.867 09:06:28.324   37.457           Land
 9:05:52.335 09:06:32.401   40.066           Land
 9:06:05.048 09:06:27.381   22.333           Land
 9:06:06.488 09:06:31.571   25.083           Land
 9:06:07.095 09:06:35.919   28.824           Land
 9:06:13.720 09:06:36.485   22.764           Land
 9:06:34.253 09:06:59.465   25.212           Land
 9:06:53.354 09:07:17.537   24.183           Land
 9:07:43.713 09:09:30.001  106.287           Land
 9:08:14.623 09:08:38.197   23.574           Land
 9:08:20.370 09:08:43.866   23.496           Land
 9:09:04.895 09:10:01.309   56.413           Land
 9:10:41.291 09:15:56.299  315.008           Land
 9:11:15.813 09:11:38.156   22.344           Land
 9:11:52.846 09:12:16.768   23.922           Land
 9:11:57.336 09:12:21.932   24.596           Land
 9:12:05.036 09:26:49.065  884.028         Matera
 9:14:39.143 09:16:16.760   97.616           Land
 9:15:35.267 09:17:55.290  140.023           Land
 9:16:44.791 09:17:52.926   68.135           Land
 9:16:50.296 09:18:30.991  100.694           Land
 9:17:55.902 09:19:10.278   74.376           Land
 9:18:28.696 09:19:25.603   56.906           Land
 9:18:37.337 09:20:34.293  116.955           Land
 9:18:56.571 09:19:21.021    24.45           Land
 9:18:57.489 09:19:35.390   37.901           Land
 9:18:58.949 09:19:21.524   22.575           Land
 9:19:02.399 09:19:26.062   23.663           Land
 9:19:07.023 09:19:32.252   25.229           Land
 9:19:15.393 09:19:42.429   27.036           Land
 9:19:24.953 09:19:47.624   22.671           Land
 9:19:26.587 09:19:50.628   24.042           Land
 9:19:28.389 09:20:03.922   35.533           Land
 9:19:28.777 09:19:56.668   27.891           Land
 9:19:41.727 09:20:07.100   25.373           Land
 9:19:44.872 09:20:07.695   22.824           Land
 9:19:46.289 09:20:09.056   22.767           Land
 9:19:47.930 09:20:11.421   23.491           Land
 9:19:51.063 09:20:14.741   23.678           Land
 9:19:52.752 09:20:18.258   25.506           Land
 9:19:54.439 09:20:18.048   23.608           Land
 9:20:00.010 09:20:22.939   22.929           Land
 9:20:02.406 09:20:25.520   23.115           Land
 9:20:12.532 09:20:37.075   24.542           Land
 9:20:21.955 09:20:52.088   30.133           Land
 9:21:11.101 09:24:47.847  216.745           Land
 9:24:13.470 09:28:42.320  268.851           Land
 9:28:07.186 09:30:06.702  119.516           Land
 9:28:11.644 09:28:56.082   44.438           Land
 9:29:04.151 09:30:16.287   72.137           Land
 9:29:22.161 09:32:09.515  167.353           Land
 9:30:04.448 09:31:29.535   85.087           Land
 9:31:34.547 09:32:30.460   55.913           Land
 9:31:42.260 09:32:26.975   44.715           Land
 9:32:01.095 09:35:35.724  214.629           Land
 9:35:12.042 09:35:55.308   43.266           Land
 9:35:56.828  9:50:42.427  885.599 Process_images
 9:50:43.947 09:51:57.390   73.443           Land
 9:51:45.561 09:52:17.546   31.985           Land
 9:52:12.364 09:53:48.477   96.114           Land
 9:53:26.074 09:53:58.334    32.26           Land
 9:53:39.419 09:54:50.514   71.094           Land
 9:54:35.606 09:55:18.806   43.199           Land
 9:54:52.241 09:59:32.280   280.04           Land
 9:59:11.018 09:59:33.826   22.809           Land
 9:59:35.346 10:10:15.784  640.438 Process_images
10:10:17.304 10:43:58.963 2021.659 Penumbra Shade
10:15:36.706 10:15:59.382   22.676           Land
10:17:12.919 10:17:32.138   19.219           Land
10:17:33.658 10:20:49.788   196.13 Process_images
10:20:51.308 10:21:01.654   10.346           Land
10:21:01.124 10:21:22.160   21.036           Land
10:21:23.680 10:35:35.909  852.229 Process_images
10:35:37.429 10:46:51.901  674.473     PrudhoeBay
10:36:12.521 10:36:40.771   28.249           Land
10:36:18.723 10:36:52.340   33.617           Land
10:36:49.603 10:42:19.219  329.616           Land
10:37:27.274 10:37:57.800   30.526           Land
10:37:59.320 10:41:43.756  224.436 Process_images
10:41:45.276 10:56:46.961  901.685       Svalbard
10:42:04.337 10:42:40.573   36.237           Land
10:42:11.710 10:42:51.174   39.464           Land
10:42:21.357 10:42:47.946   26.588           Land
10:42:27.266 10:43:17.889   50.623           Land
10:42:44.307 10:43:06.573   22.266           Land
10:42:49.291 10:43:11.259   21.968           Land
10:42:53.690 10:43:20.898   27.208           Land
